Exact Matches,Not Available,Similar Trades
Architectural Draughtsman,Additive Manufacturing Technician Three D Printing,Architectural Draughtsman
Central Aircondition Plant Mechanic,Advanced CNC Machining Technician,Central Aircondition Plant Mechanic
Computer Hardware & Network Maintenance,Aeronautical Structure and Equipment Fitter,Computer Hardware & Network Maintenance
Cosmetology,Agro Processing,Cosmetology
Desk Top Publishing Operator,Artisan Using Advanced Tool,Data Entry Operator
Draughtsman (Civil),Attendant Operator (Chemical Plant),Desk Top Publishing Operator
Draughtsman (Mechanical),Automotive Technicians,Draughtsman (Civil)
Electrician,Baker and Confectioner,Draughtsman (Mechanical)
Electroplater,Bamboo Works,Electrician
Fashion Design & Technology,Basic Designer and Virtual Verifier (Mechanical),Electroplater
Fire Technology and Industrial Safety Management,Boiler Technicians,Fashion Design & Technology
Food & Beverages Services Assistant,Cable Installation Technicians,Finance Executive
Food Production (General),Catering & Hospitality Assistant,Fire Technology and Industrial Safety Management
Foundryman,Civil Engineer Assistant,Food & Beverages Services Assistant
Health Sanitary Inspector,CNC Machine Technicians,Food Production (General)
Information Technology,Computer Aided Embroidery and Designing,Foundryman
Instrument Mechanic,Computer Aided Manufacturing (CAM) Programmer,Health Sanitary Inspector
Machinist,Computer Operator & Programming Assistant,Information Technology
Marine Fitter,Construction Equipment Technicians,Instrument Mechanic
Mechanic Auto Body Painting,Cutting & Sewing,Machinist
Mechanic Auto Body Repair,Dairy Technicians,Marine Fitter
Mechanic Auto Electrical and Electronics,Data Base System Assistant,Mechanic Auto Body Painting
Mechanic Diesel,Data Entry Operator,Mechanic Auto Body Repair
Mechanic (Motor Vehicle),Dental Laboratory Equipment Technician,Mechanic Auto Electrical and Electronics
Painter General,Diesel Technicians,Mechanic Diesel
Plumber,Digital Photographer,Mechanic (Motor Vehicle)
Plastic Processing Operator,Domestic Painter,Painter General
Secretarial Practice (English),Drone Technician,Plumber
Sewing Technology,Driver Cum Mechanic,Plastic Processing Operator
Sheet Metal Worker,Early Childhood Educator,Refrigeration and Air Conditioning Technician
Surveyor,Electrician Power Distribution,Secretarial Practice (English)
Tool & Die Maker (Dies & Moulds),Elevator Technicians,Sewing Technology
Turner,Fibre to Home Technician,Sheet Metal Worker
Wireman,Finance Executive,Surveyor
,Firemen,Tool & Die Maker (Dies & Moulds)
,Floriculture & Landscaping,Turner
,Food Beverage,Wireman
,Front Office Assistant,
,Fruit and Vegetable Processor,
,Gas Technicians,
,Geo Informatics Assistant,
,Geriatric (Old Age) Care,
,Hair & Skin Care,
,Health Safety & Environment,
,Horticulture,
,Hospital House Keeping,
,House Keeper,
,Human Resource Executive,
,HVAC Technicians,
,Industrial Machinery Technicians,
,Industrial Painter,
,Industrial Robotics and Digital Manufacturing Technician,
,Information Communication Technology System Maintenance,
,In Plant Logistics Assistant,
,Instrument Mechanic (Chemical Plant),
,Interior Design & Decoration,
,IoT Technician (Smart Agriculture),
,IoT Technician (Smart City),
,IoT Technician (Smart Healthcare),
,Laboratory Assistant (Chemical Plant),
,Leather Goods Maker,
,Lift and Escalator Mechanic,
,Machinist (Grinder),
,Maintenance Mechanic (Chemical Plant),
,Marine Engine Fitter,
,Marketing Executive,
,Mason (Building Constructor),
,Mechanic Agriculture Machinery,
,Mechanic Consumer Electronics Appliances,
,Mechanic Electric Vehicle,
,Mechanic Electronics System Design and Repair,
,Mechanic Lens/Prism Grinding,
,Mechanic Machine Tool Maintenance,
,Mechanic Mining Machinery,
,Mechanic (Tractor),
,Mechanic Two & Three Wheeler,
,Medical Equipment Technicians,
,Metal Cutting Attendant,
,Milk & Milk Product Technician,
,Multimedia Animation & Special Effects,
,Network Technicians,
,Operator Advanced Machine Tools,
,Pest Control Technicians,
,Physiotherapy Technician,
,Pump Operator-Cum-Mechanic,
,Radiology Technician,
,Radiology - Technician,
,Refrigeration and Air Conditioning Technician,
,Smartphone Technician Cum App Tester,
,Smart City IoT Technician,
,Smart Healthcare IoT Technician,
,Software Testing Assistant,
,Solar Energy Technicians,
,Solar Technician (Electrical),
,Spa Therapy,
,Spinning Technician,
,Stenographer & Secretarial Assistant (English),
,Stenographer & Secretarial Assistant (Hindi),
,Stone Mining Machine Operator,
,Stone Processing Machine Operator,
,Surface Ornamentation Techniques (Embroidery),
,Textile Mechatronics,
,Textile Wet Processing Technician,
,"Tool & Die Maker (Press Tools, Jigs & Fixtures)",
,Tourist Guide,
,Travel & Tour Assistant,
,Vessel Navigator,
,Warehouse Technician,
,Weaver Technician,
,Welding (Fabrication & Fitting),
,Welding (GMAW & GTAW),
,Welding (Inspection),
,Welding (Pipe),
,Welding (Structural),
,Wind Turbine Technicians,
,Wood Work Technician,
